"California State University, Fullerton",Masters,3.50,Wait listed
"University Of California, Los Angeles (UCLA)",PhD,4.00,Interview
Stanford University,PhD,4.00,Accepted
University Of Washington,PhD,4.00,Accepted
Arizona State University,Masters,3.90,Accepted
Arizona State University,Masters,3.94,Accepted
Penn State (Pennsylvania State University),PhD,3.10,Interview
University Of Pennsylvania,Masters,3.34,Rejected
University Of Pennsylvania,Masters,3.83,Rejected
University Of Pennsylvania,Masters,3.30,Rejected
University Of Pennsylvania,Masters,3.89,Rejected
Arizona State University,Masters,3.60,Rejected
University Of Pennsylvania,Masters,3.61,Rejected
Cornell Tech,Masters,3.81,Interview
Leiden University,Masters,3.85,Accepted
University Of Pennsylvania,Masters,3.76,Rejected
University Of Notre Dame,PhD,3.46,Accepted
Rochester Institute Of Technology,Masters,3.62,Accepted
University Of Texas At Dallas,Masters,3.96,Accepted
University Of Pennsylvania,Masters,3.80,Rejected
Ohio State University,PhD,3.85,Accepted
University Of Pennsylvania,Masters,3.40,Rejected
Columbia University,Masters,3.60,Accepted
Columbia University,Masters,4.00,Accepted
University Of Texas At Dallas,Masters,3.55,Accepted
Arizona State University,Masters,3.55,Accepted
SUNY Stony Brook,Masters,2.58,Accepted
Illinois Institute Of Technology,Masters,3.20,Rejected
University Of Texas At Dallas,Masters,3.55,Accepted
Arizona State University,Masters,3.62,Accepted
The Ohio State University,PhD,3.85,Interview
University Of Texas At Dallas,Masters,3.70,Accepted
Arizona State University,Masters,3.60,Rejected
Georgia Institute Of Technology,PhD,3.19,Interview
Harvard,PhD,3.23,Interview
University Of Southern California,Masters,3.80,Accepted
University Of Waterloo,Masters,3.78,Accepted
SUNY Stony Brook,PhD,3.70,Rejected
Penn State (Pennsylvania State University),PhD,3.70,Rejected
Sri Manakula Vinayagar Engineering College,Masters,3.20,Accepted
University Of Maryland,PhD,3.30,Accepted
Carnegie Mellon University (CMU) - Robotics Institute,Masters,3.31,Accepted
Arizona State University,PhD,3.25,Accepted
Simon Fraser University,Masters,3.50,Rejected
University Of Southern California,Masters,3.91,Accepted
Penn State (PSU) University Park,Masters,3.50,Rejected
California State University Long Beach,Masters,3.60,Accepted
University Of Southern California,Masters,3.80,Rejected
