0,ASU,Masters,3.94,167,Accepted
1,University Of Pennsylvania,Masters,3.34,163,Rejected
2,University Of Pennsylvania,Masters,3.83,170,Rejected
3,University Of Pennsylvania,Masters,3.3,169,Rejected
4,University Of Pennsylvania,Masters,3.89,167,Rejected
5,ASU,Masters,3.6,166,Rejected
6,Cornell Tech,Masters,3.81,166,Interview
7,University Of Pennsylvania,Masters,3.76,167,Rejected
8,Rochester Institute Of Technology,Masters,3.62,170,Accepted
9,University Of Texas At Dallas,Masters,3.96,160,Accepted
10,University Of Pennsylvania,Masters,3.8,165,Rejected
11,University Of Pennsylvania,Masters,3.4,160,Rejected
12,Columbia University,Masters,3.6,156,Accepted
13,University Of Texas At Dallas,Masters,3.55,166,Accepted
14,ASU,Masters,3.55,166,Accepted
15,SUNY Stony Brook,Masters,2.58,166,Accepted
16,University Of Texas At Dallas,Masters,3.55,166,Accepted
17,ASU,Masters,3.62,164,Accepted
18,University Of Texas At Dallas,Masters,3.7,162,Accepted
19,ASU,Masters,3.6,168,Rejected
20,Georgia Institute Of Technology,PhD,3.19,162,Interview
21,University Of Southern California,Masters,3.8,167,Accepted
22,SUNY Stony Brook,PhD,3.7,168,Rejected
23,Penn State (Pennsylvania State University),PhD,3.7,168,Rejected
24,Sri Manakula Vinayagar Engineering College,Masters,3.2,149,Accepted
25,University Of Maryland,PhD,3.3,168,Accepted
26,CMU - Robotics Institute,Masters,3.31,163,Accepted
27,ASU,PhD,3.25,170,Accepted
28,University Of Southern California,Masters,3.91,170,Accepted
29,Penn State (PSU) University Park,Masters,3.5,169,Rejected
30,University Of Southern California,Masters,3.8,165,Rejected
31,"University Of Massachusetts, Amherst",Masters,3.91,170,Accepted
32,University Of Florida,Masters,3.67,162,Rejected
33,University Of Virginia,Masters,3,165,Accepted
34,University Of Waterloo,Masters,3.66,168,Rejected
35,University Of Toronto,PhD,3.6,167,Accepted
36,New York University,Masters,3.49,170,Accepted
37,Missouri University Of Science &amp; Technology,PhD,3.5,160,Accepted
38,Columbia University (Fu Foundation),Masters,3.59,168,Wait listed
39,Columbia University,Masters,3.94,170,Wait listed
40,ETH Zurich - Swiss Federal Institute Of Technology,Masters,3.92,165,Accepted
41,University Of Southern California,Masters,3.12,155,Accepted
42,EPFL,Masters,3.96,165,Accepted
43,ETH Zurich - Swiss Federal Institute Of Technology,Masters,3.9,169,Accepted
44,National University Of Singapore,Masters,3.7,170,Rejected
45,Santa Clara University,Masters,3.6,149,Accepted
46,University Of Southern California,Masters,3.9,170,Accepted
47,University Of Southern California,Masters,3.8,166,Accepted
48,University Of Southern California,Masters,3.8,166,Accepted
49,University Of Southern California,Masters,3.8,166,Rejected
50,University Of Southern California,Masters,3.63,163,Accepted
51,University Of Southern California,Masters,3.75,162,Accepted
52,University Of Cincinnati,Masters,3.1,155,Rejected
53,University Of Texas At Arlington,Masters,3.1,155,Accepted
54,Stevens Institute Of Technology,Masters,3.1,155,Accepted
